start,peak,end,peak_counts,background,snr,duration_s,instrument
2026-06-02 04:44:14+00:00,2026-06-02 04:44:58+00:00,2026-06-02 04:48:03+00:00,737.0,59.0,12.491525423728813,229.0,SoLEXS
2026-06-02 06:58:32+00:00,2026-06-02 06:59:41+00:00,2026-06-02 06:59:43+00:00,100.0,25.0,4.0,71.0,SoLEXS
2026-06-02 10:02:06+00:00,2026-06-02 10:04:44+00:00,2026-06-02 10:09:59+00:00,743.0,331.5,2.2413273001508296,473.0,SoLEXS
2026-06-02 13:56:52+00:00,2026-06-02 13:58:03+00:00,2026-06-02 13:58:50+00:00,87.0,14.0,6.214285714285714,118.0,SoLEXS
2026-06-02 16:43:48+00:00,2026-06-02 16:49:15+00:00,2026-06-02 16:56:26+00:00,2043.0,345.0,5.921739130434783,758.0,SoLEXS
