start,peak,end,peak_counts,background,snr,duration_s,instrument
2026-06-03 01:29:45+00:00,2026-06-03 01:35:06+00:00,2026-06-03 01:43:20+00:00,6580.0,1720.0,3.8255813953488373,815.0,SoLEXS
2026-06-03 06:57:31+00:00,2026-06-03 07:00:27+00:00,2026-06-03 07:10:35+00:00,5343.0,578.5,9.235955056179776,784.0,SoLEXS
2026-06-03 11:23:38+00:00,2026-06-03 11:28:03+00:00,2026-06-03 11:36:55+00:00,7190.0,1670.0,4.3053892215568865,797.0,SoLEXS
