start,peak,end,peak_counts,background,snr,duration_s,instrument
2026-06-06 00:08:22+00:00,2026-06-06 00:08:24+00:00,2026-06-06 00:08:53+00:00,232.0,0.0,232.0,31.0,HEL1OS
2026-06-06 00:37:00+00:00,2026-06-06 00:37:37+00:00,2026-06-06 00:37:53+00:00,311.0,0.0,311.0,53.0,HEL1OS
2026-06-06 01:15:56+00:00,2026-06-06 01:16:19+00:00,2026-06-06 01:17:20+00:00,261.0,0.0,261.0,84.0,HEL1OS
2026-06-06 01:19:00+00:00,2026-06-06 01:19:25+00:00,2026-06-06 01:21:37+00:00,268.0,0.0,268.0,157.0,HEL1OS
2026-06-06 01:38:18+00:00,2026-06-06 01:39:35+00:00,2026-06-06 01:41:39+00:00,276.0,0.0,276.0,201.0,HEL1OS
2026-06-06 02:01:59+00:00,2026-06-06 02:05:15+00:00,2026-06-06 02:06:25+00:00,289.0,0.0,289.0,266.0,HEL1OS
2026-06-06 02:09:53+00:00,2026-06-06 02:11:26+00:00,2026-06-06 02:11:50+00:00,249.0,0.0,249.0,117.0,HEL1OS
2026-06-06 02:32:03+00:00,2026-06-06 02:32:40+00:00,2026-06-06 02:33:24+00:00,226.0,0.0,226.0,81.0,HEL1OS
2026-06-06 03:04:59+00:00,2026-06-06 03:05:38+00:00,2026-06-06 03:07:45+00:00,340.0,0.0,340.0,166.0,HEL1OS
2026-06-06 03:27:22+00:00,2026-06-06 03:27:59+00:00,2026-06-06 03:28:00+00:00,232.0,0.0,232.0,38.0,HEL1OS
2026-06-06 03:33:49+00:00,2026-06-06 03:34:05+00:00,2026-06-06 03:34:27+00:00,224.0,0.0,224.0,38.0,HEL1OS
2026-06-06 03:51:35+00:00,2026-06-06 03:51:55+00:00,2026-06-06 03:51:55+00:00,188.0,0.0,188.0,20.0,HEL1OS
2026-06-06 03:59:01+00:00,2026-06-06 03:59:34+00:00,2026-06-06 03:59:39+00:00,225.0,0.0,225.0,38.0,HEL1OS
2026-06-06 04:07:09+00:00,2026-06-06 04:07:23+00:00,2026-06-06 04:08:19+00:00,236.0,0.0,236.0,70.0,HEL1OS
2026-06-06 04:16:01+00:00,2026-06-06 04:16:03+00:00,2026-06-06 04:16:57+00:00,246.0,0.0,246.0,56.0,HEL1OS
2026-06-06 04:18:56+00:00,2026-06-06 04:19:03+00:00,2026-06-06 04:19:40+00:00,237.0,0.0,237.0,44.0,HEL1OS
2026-06-06 04:22:59+00:00,2026-06-06 04:24:08+00:00,2026-06-06 04:24:59+00:00,343.0,0.0,343.0,120.0,HEL1OS
2026-06-06 04:30:39+00:00,2026-06-06 04:31:31+00:00,2026-06-06 04:31:31+00:00,232.0,0.0,232.0,52.0,HEL1OS
2026-06-06 04:38:27+00:00,2026-06-06 04:38:43+00:00,2026-06-06 04:40:07+00:00,224.0,0.0,224.0,100.0,HEL1OS
2026-06-06 05:33:36+00:00,2026-06-06 05:35:09+00:00,2026-06-06 05:35:34+00:00,325.0,0.0,325.0,118.0,HEL1OS
2026-06-06 05:53:13+00:00,2026-06-06 05:54:52+00:00,2026-06-06 05:58:41+00:00,267.0,0.0,267.0,328.0,HEL1OS
2026-06-06 06:24:01+00:00,2026-06-06 06:24:34+00:00,2026-06-06 06:24:41+00:00,270.0,0.0,270.0,40.0,HEL1OS
2026-06-06 06:42:14+00:00,2026-06-06 06:42:20+00:00,2026-06-06 06:43:42+00:00,247.0,0.0,247.0,88.0,HEL1OS
2026-06-06 06:50:37+00:00,2026-06-06 06:52:04+00:00,2026-06-06 06:52:48+00:00,251.0,0.0,251.0,131.0,HEL1OS
2026-06-06 07:06:16+00:00,2026-06-06 07:06:18+00:00,2026-06-06 07:07:29+00:00,213.0,0.0,213.0,73.0,HEL1OS
2026-06-06 07:29:18+00:00,2026-06-06 07:29:34+00:00,2026-06-06 07:30:44+00:00,280.0,0.0,280.0,86.0,HEL1OS
2026-06-06 08:11:09+00:00,2026-06-06 08:11:17+00:00,2026-06-06 08:12:07+00:00,300.0,0.0,300.0,58.0,HEL1OS
2026-06-06 08:15:23+00:00,2026-06-06 08:15:23+00:00,2026-06-06 08:15:45+00:00,243.0,0.0,243.0,22.0,HEL1OS
2026-06-06 08:17:36+00:00,2026-06-06 08:17:57+00:00,2026-06-06 08:17:58+00:00,225.0,0.0,225.0,22.0,HEL1OS
2026-06-06 08:27:19+00:00,2026-06-06 08:27:43+00:00,2026-06-06 08:27:50+00:00,202.0,0.0,202.0,31.0,HEL1OS
2026-06-06 08:32:33+00:00,2026-06-06 08:32:42+00:00,2026-06-06 08:33:22+00:00,246.0,0.0,246.0,49.0,HEL1OS
2026-06-06 08:36:32+00:00,2026-06-06 08:36:40+00:00,2026-06-06 08:36:46+00:00,270.0,0.0,270.0,14.0,HEL1OS
2026-06-06 08:46:23+00:00,2026-06-06 08:46:25+00:00,2026-06-06 08:47:10+00:00,299.0,0.0,299.0,47.0,HEL1OS
2026-06-06 08:50:20+00:00,2026-06-06 08:50:20+00:00,2026-06-06 08:53:03+00:00,260.0,0.0,260.0,163.0,HEL1OS
2026-06-06 09:10:40+00:00,2026-06-06 09:10:55+00:00,2026-06-06 09:11:19+00:00,280.0,0.0,280.0,39.0,HEL1OS
2026-06-06 09:15:50+00:00,2026-06-06 09:15:56+00:00,2026-06-06 09:17:15+00:00,267.0,0.0,267.0,85.0,HEL1OS
2026-06-06 09:23:35+00:00,2026-06-06 09:23:50+00:00,2026-06-06 09:23:56+00:00,189.0,0.0,189.0,21.0,HEL1OS
2026-06-06 09:30:33+00:00,2026-06-06 09:31:25+00:00,2026-06-06 09:31:25+00:00,270.0,0.0,270.0,52.0,HEL1OS
2026-06-06 09:36:02+00:00,2026-06-06 09:36:04+00:00,2026-06-06 09:36:15+00:00,119.0,0.0,119.0,13.0,HEL1OS
2026-06-06 09:46:07+00:00,2026-06-06 09:46:58+00:00,2026-06-06 09:48:32+00:00,278.0,0.0,278.0,145.0,HEL1OS
2026-06-06 09:58:57+00:00,2026-06-06 09:58:59+00:00,2026-06-06 09:59:49+00:00,223.0,0.0,223.0,52.0,HEL1OS
2026-06-06 10:25:57+00:00,2026-06-06 10:26:08+00:00,2026-06-06 10:26:08+00:00,99.0,0.0,99.0,11.0,HEL1OS
2026-06-06 10:34:34+00:00,2026-06-06 10:35:35+00:00,2026-06-06 10:35:54+00:00,246.0,0.0,246.0,80.0,HEL1OS
2026-06-06 10:40:04+00:00,2026-06-06 10:40:13+00:00,2026-06-06 10:40:59+00:00,266.0,0.0,266.0,55.0,HEL1OS
