start,peak,end,peak_counts,background,snr,duration_s,instrument
2026-06-16 12:02:16+00:00,2026-06-16 12:02:31+00:00,2026-06-16 12:03:57+00:00,360.0,0.0,360.0,101.0,HEL1OS
2026-06-16 12:07:03+00:00,2026-06-16 12:09:04+00:00,2026-06-16 12:09:33+00:00,271.0,0.0,271.0,150.0,HEL1OS
2026-06-16 12:18:12+00:00,2026-06-16 12:18:53+00:00,2026-06-16 12:18:53+00:00,250.0,0.0,250.0,41.0,HEL1OS
2026-06-16 12:21:18+00:00,2026-06-16 12:21:35+00:00,2026-06-16 12:21:50+00:00,225.0,0.0,225.0,32.0,HEL1OS
2026-06-16 12:23:48+00:00,2026-06-16 12:24:04+00:00,2026-06-16 12:24:39+00:00,214.0,0.0,214.0,51.0,HEL1OS
2026-06-16 12:33:50+00:00,2026-06-16 12:35:52+00:00,2026-06-16 12:36:14+00:00,293.0,0.0,293.0,144.0,HEL1OS
2026-06-16 12:39:12+00:00,2026-06-16 12:40:32+00:00,2026-06-16 12:40:32+00:00,357.0,0.0,357.0,80.0,HEL1OS
2026-06-16 12:42:39+00:00,2026-06-16 12:42:51+00:00,2026-06-16 12:42:56+00:00,231.0,0.0,231.0,17.0,HEL1OS
2026-06-16 12:46:05+00:00,2026-06-16 12:46:22+00:00,2026-06-16 12:48:58+00:00,280.0,0.0,280.0,173.0,HEL1OS
2026-06-16 12:56:16+00:00,2026-06-16 12:57:08+00:00,2026-06-16 12:58:25+00:00,221.0,0.0,221.0,129.0,HEL1OS
2026-06-16 13:06:47+00:00,2026-06-16 13:08:43+00:00,2026-06-16 13:09:31+00:00,253.0,0.0,253.0,164.0,HEL1OS
2026-06-16 13:12:43+00:00,2026-06-16 13:14:45+00:00,2026-06-16 13:15:43+00:00,295.0,0.0,295.0,180.0,HEL1OS
2026-06-16 13:18:09+00:00,2026-06-16 13:21:57+00:00,2026-06-16 13:23:06+00:00,269.0,0.0,269.0,297.0,HEL1OS
2026-06-16 13:38:15+00:00,2026-06-16 13:38:23+00:00,2026-06-16 13:39:06+00:00,248.0,0.0,248.0,51.0,HEL1OS
2026-06-16 13:41:25+00:00,2026-06-16 13:41:56+00:00,2026-06-16 13:41:56+00:00,280.0,0.0,280.0,31.0,HEL1OS
