start_utc,peak_utc,end_utc,duration_s,sxr_peak_counts,snr_sxr,hxr_detected,hxr_peak_counts,snr_hxr,source,sxr_peak_flux_wm2,goes_class,goes_class_num
2026-06-12 00:00:26+00:00,2026-06-12 00:00:34+00:00,2026-06-12 00:00:57+00:00,31.0,,,True,211.0,211.0,HXR_only,,?,0
2026-06-12 00:29:47+00:00,2026-06-12 00:30:00+00:00,2026-06-12 00:30:16+00:00,29.0,,,True,232.0,232.0,HXR_only,,?,0
2026-06-12 00:38:27+00:00,2026-06-12 00:38:27+00:00,2026-06-12 00:38:51+00:00,24.0,,,True,264.0,264.0,HXR_only,,?,0
2026-06-12 00:42:13+00:00,2026-06-12 00:43:02+00:00,2026-06-12 00:45:14+00:00,181.0,,,True,253.0,253.0,HXR_only,,?,0
2026-06-12 00:47:49+00:00,2026-06-12 00:47:51+00:00,2026-06-12 00:48:02+00:00,13.0,,,True,235.0,235.0,HXR_only,,?,0
2026-06-12 00:51:34+00:00,2026-06-12 00:51:38+00:00,2026-06-12 00:52:14+00:00,40.0,,,True,233.0,233.0,HXR_only,,?,0
2026-06-12 00:55:34+00:00,2026-06-12 00:55:34+00:00,2026-06-12 00:55:50+00:00,16.0,,,True,224.0,224.0,HXR_only,,?,0
2026-06-12 00:59:23+00:00,2026-06-12 00:59:25+00:00,2026-06-12 01:00:14+00:00,51.0,,,True,188.0,188.0,HXR_only,,?,0
2026-06-12 01:05:05+00:00,2026-06-12 01:05:11+00:00,2026-06-12 01:06:13+00:00,68.0,,,True,301.0,301.0,HXR_only,,?,0
2026-06-12 01:12:31+00:00,2026-06-12 01:12:48+00:00,2026-06-12 01:12:48+00:00,17.0,,,True,287.0,287.0,HXR_only,,?,0
2026-06-12 01:45:31+00:00,2026-06-12 01:46:18+00:00,2026-06-12 01:47:10+00:00,99.0,,,True,290.0,290.0,HXR_only,,?,0
2026-06-12 02:12:06+00:00,2026-06-12 02:13:25+00:00,2026-06-12 02:16:41+00:00,275.0,217.0,15.5,True,330.0,330.0,SXR+HXR,3.0705499999999998e-06,C,2
2026-06-12 02:15:30+00:00,2026-06-12 02:16:31+00:00,2026-06-12 02:16:35+00:00,65.0,,,True,217.0,217.0,HXR_only,,?,0
2026-06-12 02:25:10+00:00,2026-06-12 02:27:02+00:00,2026-06-12 02:28:10+00:00,180.0,,,True,235.0,235.0,HXR_only,,?,0
2026-06-12 02:31:55+00:00,2026-06-12 02:32:04+00:00,2026-06-12 02:32:18+00:00,23.0,,,True,195.0,195.0,HXR_only,,?,0
2026-06-12 02:33:59+00:00,2026-06-12 02:35:41+00:00,2026-06-12 02:35:55+00:00,116.0,,,True,253.0,253.0,HXR_only,,?,0
2026-06-12 02:37:39+00:00,2026-06-12 02:38:08+00:00,2026-06-12 02:38:08+00:00,29.0,,,True,215.0,215.0,HXR_only,,?,0
2026-06-12 02:40:40+00:00,2026-06-12 02:40:40+00:00,2026-06-12 02:41:08+00:00,28.0,,,True,199.0,199.0,HXR_only,,?,0
2026-06-12 02:54:07+00:00,2026-06-12 02:54:23+00:00,2026-06-12 02:55:56+00:00,109.0,,,True,265.0,265.0,HXR_only,,?,0
2026-06-12 03:00:05+00:00,2026-06-12 03:00:28+00:00,2026-06-12 03:00:33+00:00,28.0,,,True,192.0,192.0,HXR_only,,?,0
2026-06-12 03:23:27+00:00,2026-06-12 03:23:35+00:00,2026-06-12 03:23:39+00:00,12.0,,,True,196.0,196.0,HXR_only,,?,0
2026-06-12 03:31:02+00:00,2026-06-12 03:31:42+00:00,2026-06-12 03:31:50+00:00,48.0,,,True,184.0,184.0,HXR_only,,?,0
2026-06-12 03:46:40+00:00,2026-06-12 03:47:01+00:00,2026-06-12 03:47:56+00:00,76.0,,,True,276.0,276.0,HXR_only,,?,0
2026-06-12 04:35:45+00:00,2026-06-12 04:36:21+00:00,2026-06-12 04:36:45+00:00,60.0,,,True,200.0,200.0,HXR_only,,?,0
2026-06-12 04:49:47+00:00,2026-06-12 04:52:15+00:00,2026-06-12 04:52:15+00:00,148.0,,,True,249.0,249.0,HXR_only,,?,0
2026-06-12 04:53:57+00:00,2026-06-12 04:54:32+00:00,2026-06-12 04:54:32+00:00,35.0,,,True,272.0,272.0,HXR_only,,?,0
2026-06-12 05:05:57+00:00,2026-06-12 05:06:19+00:00,2026-06-12 05:09:19+00:00,202.0,,,True,292.0,292.0,HXR_only,,?,0
2026-06-12 05:14:05+00:00,2026-06-12 05:14:29+00:00,2026-06-12 05:14:59+00:00,54.0,,,True,241.0,241.0,HXR_only,,?,0
2026-06-12 05:23:32+00:00,2026-06-12 05:23:41+00:00,2026-06-12 05:24:50+00:00,78.0,,,True,202.0,202.0,HXR_only,,?,0
2026-06-12 05:33:18+00:00,2026-06-12 05:34:30+00:00,2026-06-12 05:34:52+00:00,94.0,,,True,266.0,266.0,HXR_only,,?,0
2026-06-12 05:41:14+00:00,2026-06-12 05:42:18+00:00,2026-06-12 05:42:38+00:00,84.0,,,True,251.0,251.0,HXR_only,,?,0
2026-06-12 05:48:58+00:00,2026-06-12 05:49:52+00:00,2026-06-12 05:50:13+00:00,75.0,,,True,266.0,266.0,HXR_only,,?,0
2026-06-12 05:52:27+00:00,2026-06-12 05:52:36+00:00,2026-06-12 05:52:50+00:00,23.0,,,True,258.0,258.0,HXR_only,,?,0
2026-06-12 06:00:41+00:00,2026-06-12 06:02:23+00:00,2026-06-12 06:04:57+00:00,256.0,,,True,304.0,304.0,HXR_only,,?,0
2026-06-12 06:07:00+00:00,2026-06-12 06:07:54+00:00,2026-06-12 06:08:20+00:00,80.0,,,True,222.0,222.0,HXR_only,,?,0
2026-06-12 06:10:03+00:00,2026-06-12 06:10:09+00:00,2026-06-12 06:10:25+00:00,22.0,,,True,267.0,267.0,HXR_only,,?,0
2026-06-12 06:19:26+00:00,2026-06-12 06:20:44+00:00,2026-06-12 06:20:55+00:00,89.0,,,True,393.0,393.0,HXR_only,,?,0
2026-06-12 06:38:24+00:00,2026-06-12 06:38:54+00:00,2026-06-12 06:39:57+00:00,93.0,,,True,243.0,243.0,HXR_only,,?,0
2026-06-12 06:43:26+00:00,2026-06-12 06:44:36+00:00,2026-06-12 06:44:58+00:00,92.0,,,True,263.0,263.0,HXR_only,,?,0
2026-06-12 06:53:10+00:00,2026-06-12 06:53:10+00:00,2026-06-12 06:53:55+00:00,45.0,,,True,207.0,207.0,HXR_only,,?,0
2026-06-12 07:14:59+00:00,2026-06-12 07:15:36+00:00,2026-06-12 07:15:50+00:00,51.0,,,True,239.0,239.0,HXR_only,,?,0
2026-06-12 07:21:43+00:00,2026-06-12 07:21:45+00:00,2026-06-12 07:21:58+00:00,15.0,,,True,222.0,222.0,HXR_only,,?,0
2026-06-12 07:37:24+00:00,2026-06-12 07:38:48+00:00,2026-06-12 07:39:18+00:00,114.0,,,True,270.0,270.0,HXR_only,,?,0
2026-06-12 08:01:18+00:00,2026-06-12 08:02:27+00:00,2026-06-12 08:02:49+00:00,91.0,,,True,298.0,298.0,HXR_only,,?,0
2026-06-12 08:04:44+00:00,2026-06-12 08:05:33+00:00,2026-06-12 08:06:11+00:00,87.0,,,True,287.0,287.0,HXR_only,,?,0
2026-06-12 08:20:59+00:00,2026-06-12 08:21:20+00:00,2026-06-12 08:22:22+00:00,83.0,,,True,237.0,237.0,HXR_only,,?,0
2026-06-12 08:24:27+00:00,2026-06-12 08:24:59+00:00,2026-06-12 08:25:07+00:00,40.0,,,True,223.0,223.0,HXR_only,,?,0
2026-06-12 08:48:14+00:00,2026-06-12 08:48:21+00:00,2026-06-12 08:48:30+00:00,16.0,,,True,270.0,270.0,HXR_only,,?,0
2026-06-12 09:05:40+00:00,2026-06-12 09:05:50+00:00,2026-06-12 09:05:56+00:00,16.0,,,True,164.0,164.0,HXR_only,,?,0
2026-06-12 09:09:24+00:00,2026-06-12 09:09:50+00:00,2026-06-12 09:10:51+00:00,87.0,,,True,327.0,327.0,HXR_only,,?,0
2026-06-12 09:26:02+00:00,2026-06-12 09:26:24+00:00,2026-06-12 09:28:10+00:00,128.0,,,True,279.0,279.0,HXR_only,,?,0
2026-06-12 09:51:43+00:00,2026-06-12 09:52:19+00:00,2026-06-12 09:54:41+00:00,178.0,,,True,548.0,548.0,HXR_only,,?,0
2026-06-12 10:19:13+00:00,2026-06-12 10:19:43+00:00,2026-06-12 10:20:15+00:00,62.0,,,True,243.0,243.0,HXR_only,,?,0
2026-06-12 10:28:45+00:00,2026-06-12 10:28:58+00:00,2026-06-12 10:29:51+00:00,66.0,,,True,279.0,279.0,HXR_only,,?,0
2026-06-12 10:46:43+00:00,2026-06-12 10:47:09+00:00,2026-06-12 10:47:23+00:00,40.0,,,True,189.0,189.0,HXR_only,,?,0
2026-06-12 10:58:26+00:00,2026-06-12 10:58:56+00:00,2026-06-12 10:59:24+00:00,58.0,,,True,269.0,269.0,HXR_only,,?,0
2026-06-12 11:09:10+00:00,2026-06-12 11:09:18+00:00,2026-06-12 11:10:04+00:00,54.0,,,True,235.0,235.0,HXR_only,,?,0
2026-06-12 11:21:29+00:00,2026-06-12 11:21:59+00:00,2026-06-12 11:21:59+00:00,30.0,,,True,308.0,308.0,HXR_only,,?,0
2026-06-12 11:27:06+00:00,2026-06-12 11:27:08+00:00,2026-06-12 11:27:21+00:00,15.0,,,True,178.0,178.0,HXR_only,,?,0
2026-06-12 11:34:34+00:00,2026-06-12 11:36:14+00:00,2026-06-12 11:37:31+00:00,177.0,,,True,278.0,278.0,HXR_only,,?,0
2026-06-12 11:46:07+00:00,2026-06-12 11:47:23+00:00,2026-06-12 11:48:00+00:00,113.0,,,True,274.0,274.0,HXR_only,,?,0
2026-06-12 11:58:15+00:00,2026-06-12 12:00:03+00:00,2026-06-12 12:00:34+00:00,139.0,,,True,358.0,358.0,HXR_only,,?,0
2026-06-12 12:06:45+00:00,2026-06-12 12:06:54+00:00,2026-06-12 12:08:50+00:00,125.0,,,True,294.0,294.0,HXR_only,,?,0
2026-06-12 12:12:51+00:00,2026-06-12 12:13:22+00:00,2026-06-12 12:14:24+00:00,93.0,,,True,251.0,251.0,HXR_only,,?,0
2026-06-12 12:39:19+00:00,2026-06-12 12:39:43+00:00,2026-06-12 12:40:26+00:00,67.0,,,True,237.0,237.0,HXR_only,,?,0
2026-06-12 13:10:26+00:00,2026-06-12 13:10:33+00:00,2026-06-12 13:10:48+00:00,22.0,,,True,274.0,274.0,HXR_only,,?,0
2026-06-12 13:17:15+00:00,2026-06-12 13:17:38+00:00,2026-06-12 13:18:10+00:00,55.0,,,True,352.0,352.0,HXR_only,,?,0
2026-06-12 13:29:33+00:00,2026-06-12 13:30:50+00:00,2026-06-12 13:31:03+00:00,90.0,,,True,300.0,300.0,HXR_only,,?,0
2026-06-12 13:32:47+00:00,2026-06-12 13:32:56+00:00,2026-06-12 13:33:00+00:00,13.0,,,True,241.0,241.0,HXR_only,,?,0
2026-06-12 13:43:07+00:00,2026-06-12 13:43:26+00:00,2026-06-12 13:44:10+00:00,63.0,,,True,312.0,312.0,HXR_only,,?,0
2026-06-12 13:47:48+00:00,2026-06-12 13:48:23+00:00,2026-06-12 13:48:23+00:00,35.0,,,True,233.0,233.0,HXR_only,,?,0
2026-06-12 13:50:54+00:00,2026-06-12 13:53:49+00:00,2026-06-12 13:55:53+00:00,299.0,,,True,407.0,407.0,HXR_only,,?,0
2026-06-12 14:09:30+00:00,2026-06-12 14:10:15+00:00,2026-06-12 14:10:15+00:00,45.0,,,True,328.0,328.0,HXR_only,,?,0
2026-06-12 14:33:10+00:00,2026-06-12 14:34:57+00:00,2026-06-12 14:36:38+00:00,208.0,,,True,309.0,309.0,HXR_only,,?,0
2026-06-12 14:48:58+00:00,2026-06-12 14:49:52+00:00,2026-06-12 14:50:17+00:00,79.0,,,True,260.0,260.0,HXR_only,,?,0
2026-06-12 15:05:34+00:00,2026-06-12 15:05:49+00:00,2026-06-12 15:06:49+00:00,75.0,,,True,264.0,264.0,HXR_only,,?,0
2026-06-12 15:09:05+00:00,2026-06-12 15:09:58+00:00,2026-06-12 15:09:58+00:00,53.0,,,True,216.0,216.0,HXR_only,,?,0
2026-06-12 15:41:23+00:00,2026-06-12 15:42:17+00:00,2026-06-12 15:46:37+00:00,314.0,,,True,294.0,294.0,HXR_only,,?,0
2026-06-12 15:55:09+00:00,2026-06-12 15:56:42+00:00,2026-06-12 15:56:42+00:00,93.0,,,True,194.0,194.0,HXR_only,,?,0
2026-06-12 16:05:59+00:00,2026-06-12 16:06:52+00:00,2026-06-12 16:07:43+00:00,104.0,,,True,278.0,278.0,HXR_only,,?,0
2026-06-12 16:17:33+00:00,2026-06-12 16:17:33+00:00,2026-06-12 16:17:44+00:00,11.0,,,True,146.0,146.0,HXR_only,,?,0
2026-06-12 16:45:24+00:00,2026-06-12 16:46:05+00:00,2026-06-12 16:46:35+00:00,71.0,,,True,217.0,217.0,HXR_only,,?,0
2026-06-12 16:49:22+00:00,2026-06-12 16:50:00+00:00,2026-06-12 16:50:24+00:00,62.0,,,True,247.0,247.0,HXR_only,,?,0
2026-06-12 17:01:00+00:00,2026-06-12 17:01:09+00:00,2026-06-12 17:01:30+00:00,30.0,,,True,223.0,223.0,HXR_only,,?,0
