start_utc,peak_utc,end_utc,duration_s,sxr_peak_counts,snr_sxr,hxr_detected,hxr_peak_counts,snr_hxr,source,sxr_peak_flux_wm2,goes_class,goes_class_num
2026-06-03 00:01:58+00:00,2026-06-03 00:01:58+00:00,2026-06-03 00:02:36+00:00,38.0,,,True,279.0,279.0,HXR_only,,?,0
2026-06-03 00:13:29+00:00,2026-06-03 00:13:29+00:00,2026-06-03 00:14:11+00:00,42.0,,,True,247.0,247.0,HXR_only,,?,0
2026-06-03 00:31:16+00:00,2026-06-03 00:31:30+00:00,2026-06-03 00:35:59+00:00,283.0,,,True,233.0,233.0,HXR_only,,?,0
2026-06-03 00:38:42+00:00,2026-06-03 00:39:21+00:00,2026-06-03 00:41:09+00:00,147.0,,,True,229.0,229.0,HXR_only,,?,0
2026-06-03 00:50:12+00:00,2026-06-03 00:51:19+00:00,2026-06-03 00:51:40+00:00,88.0,,,True,258.0,258.0,HXR_only,,?,0
2026-06-03 00:54:11+00:00,2026-06-03 00:54:55+00:00,2026-06-03 00:54:59+00:00,48.0,,,True,316.0,316.0,HXR_only,,?,0
2026-06-03 01:07:50+00:00,2026-06-03 01:07:57+00:00,2026-06-03 01:08:18+00:00,28.0,,,True,227.0,227.0,HXR_only,,?,0
2026-06-03 01:13:11+00:00,2026-06-03 01:13:27+00:00,2026-06-03 01:14:36+00:00,85.0,,,True,295.0,295.0,HXR_only,,?,0
2026-06-03 01:18:50+00:00,2026-06-03 01:19:15+00:00,2026-06-03 01:20:38+00:00,108.0,,,True,294.0,294.0,HXR_only,,?,0
2026-06-03 01:29:45+00:00,2026-06-03 01:35:06+00:00,2026-06-03 01:43:20+00:00,815.0,6580.0,3.8255813953488373,True,2144.0,2144.0,SXR+HXR,9.3107e-05,M,3
2026-06-03 01:46:42+00:00,2026-06-03 01:49:45+00:00,2026-06-03 01:49:56+00:00,194.0,,,True,222.0,222.0,HXR_only,,?,0
2026-06-03 01:53:19+00:00,2026-06-03 01:53:31+00:00,2026-06-03 01:53:36+00:00,17.0,,,True,264.0,264.0,HXR_only,,?,0
2026-06-03 01:55:12+00:00,2026-06-03 01:57:21+00:00,2026-06-03 01:59:07+00:00,235.0,,,True,322.0,322.0,HXR_only,,?,0
2026-06-03 02:11:50+00:00,2026-06-03 02:11:57+00:00,2026-06-03 02:13:10+00:00,80.0,,,True,264.0,264.0,HXR_only,,?,0
2026-06-03 02:20:03+00:00,2026-06-03 02:20:27+00:00,2026-06-03 02:20:46+00:00,43.0,,,True,203.0,203.0,HXR_only,,?,0
2026-06-03 02:22:59+00:00,2026-06-03 02:23:38+00:00,2026-06-03 02:23:53+00:00,54.0,,,True,224.0,224.0,HXR_only,,?,0
2026-06-03 02:47:21+00:00,2026-06-03 02:48:42+00:00,2026-06-03 02:49:53+00:00,152.0,,,True,288.0,288.0,HXR_only,,?,0
2026-06-03 03:05:07+00:00,2026-06-03 03:07:54+00:00,2026-06-03 03:08:08+00:00,181.0,,,True,261.0,261.0,HXR_only,,?,0
2026-06-03 03:35:28+00:00,2026-06-03 03:36:40+00:00,2026-06-03 03:37:01+00:00,93.0,,,True,212.0,212.0,HXR_only,,?,0
2026-06-03 03:46:40+00:00,2026-06-03 03:47:51+00:00,2026-06-03 03:48:05+00:00,85.0,,,True,264.0,264.0,HXR_only,,?,0
2026-06-03 04:12:01+00:00,2026-06-03 04:13:30+00:00,2026-06-03 04:16:19+00:00,258.0,,,True,320.0,320.0,HXR_only,,?,0
2026-06-03 04:29:45+00:00,2026-06-03 04:30:39+00:00,2026-06-03 04:31:29+00:00,104.0,,,True,318.0,318.0,HXR_only,,?,0
2026-06-03 04:42:11+00:00,2026-06-03 04:42:35+00:00,2026-06-03 04:43:12+00:00,61.0,,,True,257.0,257.0,HXR_only,,?,0
2026-06-03 04:46:31+00:00,2026-06-03 04:47:39+00:00,2026-06-03 04:47:57+00:00,86.0,,,True,248.0,248.0,HXR_only,,?,0
2026-06-03 04:55:02+00:00,2026-06-03 04:55:11+00:00,2026-06-03 04:55:31+00:00,29.0,,,True,300.0,300.0,HXR_only,,?,0
2026-06-03 04:57:20+00:00,2026-06-03 04:57:45+00:00,2026-06-03 04:57:50+00:00,30.0,,,True,187.0,187.0,HXR_only,,?,0
2026-06-03 05:01:40+00:00,2026-06-03 05:01:59+00:00,2026-06-03 05:04:00+00:00,140.0,,,True,298.0,298.0,HXR_only,,?,0
2026-06-03 05:11:10+00:00,2026-06-03 05:11:58+00:00,2026-06-03 05:12:08+00:00,58.0,,,True,272.0,272.0,HXR_only,,?,0
2026-06-03 05:16:49+00:00,2026-06-03 05:17:12+00:00,2026-06-03 05:18:14+00:00,85.0,,,True,264.0,264.0,HXR_only,,?,0
2026-06-03 05:22:07+00:00,2026-06-03 05:23:08+00:00,2026-06-03 05:24:09+00:00,122.0,,,True,275.0,275.0,HXR_only,,?,0
2026-06-03 05:47:44+00:00,2026-06-03 05:47:54+00:00,2026-06-03 05:48:13+00:00,29.0,,,True,281.0,281.0,HXR_only,,?,0
2026-06-03 05:49:55+00:00,2026-06-03 05:50:10+00:00,2026-06-03 05:50:10+00:00,15.0,,,True,142.0,142.0,HXR_only,,?,0
2026-06-03 05:52:13+00:00,2026-06-03 05:55:34+00:00,2026-06-03 05:57:16+00:00,303.0,,,True,370.0,370.0,HXR_only,,?,0
2026-06-03 05:58:59+00:00,2026-06-03 05:59:28+00:00,2026-06-03 05:59:45+00:00,46.0,,,True,204.0,204.0,HXR_only,,?,0
2026-06-03 06:12:17+00:00,2026-06-03 06:13:51+00:00,2026-06-03 06:15:42+00:00,205.0,,,True,271.0,271.0,HXR_only,,?,0
2026-06-03 06:18:57+00:00,2026-06-03 06:20:08+00:00,2026-06-03 06:20:15+00:00,78.0,,,True,256.0,256.0,HXR_only,,?,0
2026-06-03 06:36:26+00:00,2026-06-03 06:36:26+00:00,2026-06-03 06:36:43+00:00,17.0,,,True,234.0,234.0,HXR_only,,?,0
2026-06-03 06:41:03+00:00,2026-06-03 06:43:22+00:00,2026-06-03 06:44:49+00:00,226.0,,,True,336.0,336.0,HXR_only,,?,0
2026-06-03 06:53:36+00:00,2026-06-03 06:53:38+00:00,2026-06-03 06:54:40+00:00,64.0,,,True,211.0,211.0,HXR_only,,?,0
2026-06-03 06:57:31+00:00,2026-06-03 07:00:27+00:00,2026-06-03 07:10:35+00:00,784.0,5343.0,9.235955056179776,True,6843.0,6843.0,SXR+HXR,7.560344999999999e-05,M,3
2026-06-03 07:10:59+00:00,2026-06-03 07:13:47+00:00,2026-06-03 07:14:06+00:00,187.0,,,True,214.0,214.0,HXR_only,,?,0
2026-06-03 07:18:42+00:00,2026-06-03 07:19:47+00:00,2026-06-03 07:19:47+00:00,65.0,,,True,239.0,239.0,HXR_only,,?,0
2026-06-03 07:33:44+00:00,2026-06-03 07:34:52+00:00,2026-06-03 07:37:18+00:00,214.0,,,True,248.0,248.0,HXR_only,,?,0
2026-06-03 07:39:55+00:00,2026-06-03 07:40:04+00:00,2026-06-03 07:42:30+00:00,155.0,,,True,239.0,239.0,HXR_only,,?,0
2026-06-03 07:44:44+00:00,2026-06-03 07:46:33+00:00,2026-06-03 07:49:03+00:00,259.0,,,True,300.0,300.0,HXR_only,,?,0
2026-06-03 07:55:21+00:00,2026-06-03 07:56:00+00:00,2026-06-03 07:57:18+00:00,117.0,,,True,292.0,292.0,HXR_only,,?,0
2026-06-03 08:03:13+00:00,2026-06-03 08:03:51+00:00,2026-06-03 08:05:08+00:00,115.0,,,True,324.0,324.0,HXR_only,,?,0
2026-06-03 08:15:55+00:00,2026-06-03 08:15:55+00:00,2026-06-03 08:16:05+00:00,10.0,,,True,127.0,127.0,HXR_only,,?,0
2026-06-03 08:20:37+00:00,2026-06-03 08:20:39+00:00,2026-06-03 08:20:52+00:00,15.0,,,True,255.0,255.0,HXR_only,,?,0
2026-06-03 08:23:30+00:00,2026-06-03 08:23:32+00:00,2026-06-03 08:25:09+00:00,99.0,,,True,281.0,281.0,HXR_only,,?,0
2026-06-03 08:31:05+00:00,2026-06-03 08:31:05+00:00,2026-06-03 08:31:19+00:00,14.0,,,True,205.0,205.0,HXR_only,,?,0
2026-06-03 08:34:34+00:00,2026-06-03 08:34:41+00:00,2026-06-03 08:35:18+00:00,44.0,,,True,263.0,263.0,HXR_only,,?,0
2026-06-03 08:48:58+00:00,2026-06-03 08:49:31+00:00,2026-06-03 08:50:19+00:00,81.0,,,True,240.0,240.0,HXR_only,,?,0
2026-06-03 08:53:41+00:00,2026-06-03 08:54:43+00:00,2026-06-03 08:56:45+00:00,184.0,,,True,264.0,264.0,HXR_only,,?,0
2026-06-03 08:58:44+00:00,2026-06-03 09:00:07+00:00,2026-06-03 09:01:59+00:00,195.0,,,True,259.0,259.0,HXR_only,,?,0
2026-06-03 09:16:34+00:00,2026-06-03 09:16:43+00:00,2026-06-03 09:18:06+00:00,92.0,,,True,296.0,296.0,HXR_only,,?,0
2026-06-03 09:25:28+00:00,2026-06-03 09:26:06+00:00,2026-06-03 09:27:00+00:00,92.0,,,True,234.0,234.0,HXR_only,,?,0
2026-06-03 09:30:16+00:00,2026-06-03 09:31:13+00:00,2026-06-03 09:31:19+00:00,63.0,,,True,261.0,261.0,HXR_only,,?,0
2026-06-03 09:55:19+00:00,2026-06-03 09:56:44+00:00,2026-06-03 09:57:00+00:00,101.0,,,True,281.0,281.0,HXR_only,,?,0
2026-06-03 10:12:47+00:00,2026-06-03 10:14:02+00:00,2026-06-03 10:15:15+00:00,148.0,,,True,258.0,258.0,HXR_only,,?,0
2026-06-03 10:17:39+00:00,2026-06-03 10:18:05+00:00,2026-06-03 10:18:43+00:00,64.0,,,True,247.0,247.0,HXR_only,,?,0
2026-06-03 10:20:18+00:00,2026-06-03 10:20:47+00:00,2026-06-03 10:22:58+00:00,160.0,,,True,327.0,327.0,HXR_only,,?,0
2026-06-03 10:37:56+00:00,2026-06-03 10:38:11+00:00,2026-06-03 10:38:26+00:00,30.0,,,True,190.0,190.0,HXR_only,,?,0
2026-06-03 10:40:38+00:00,2026-06-03 10:40:40+00:00,2026-06-03 10:41:39+00:00,61.0,,,True,257.0,257.0,HXR_only,,?,0
2026-06-03 10:51:55+00:00,2026-06-03 10:51:55+00:00,2026-06-03 10:53:05+00:00,70.0,,,True,271.0,271.0,HXR_only,,?,0
2026-06-03 10:57:10+00:00,2026-06-03 10:57:17+00:00,2026-06-03 10:57:49+00:00,39.0,,,True,258.0,258.0,HXR_only,,?,0
2026-06-03 10:59:30+00:00,2026-06-03 11:03:32+00:00,2026-06-03 11:04:39+00:00,309.0,,,True,262.0,262.0,HXR_only,,?,0
2026-06-03 11:11:26+00:00,2026-06-03 11:12:33+00:00,2026-06-03 11:12:33+00:00,67.0,,,True,218.0,218.0,HXR_only,,?,0
2026-06-03 11:14:44+00:00,2026-06-03 11:15:48+00:00,2026-06-03 11:16:37+00:00,113.0,,,True,331.0,331.0,HXR_only,,?,0
2026-06-03 11:23:38+00:00,2026-06-03 11:28:03+00:00,2026-06-03 11:36:55+00:00,797.0,7190.0,4.3053892215568865,True,1712.0,1712.0,SXR+HXR,0.0001017385,X,4
2026-06-03 11:41:24+00:00,2026-06-03 11:51:54+00:00,2026-06-03 11:52:38+00:00,674.0,,,True,230.0,230.0,HXR_only,,?,0
2026-06-03 11:59:02+00:00,2026-06-03 11:59:04+00:00,2026-06-03 11:59:46+00:00,44.0,,,True,255.0,255.0,HXR_only,,?,0
2026-06-03 12:07:49+00:00,2026-06-03 12:09:57+00:00,2026-06-03 12:10:11+00:00,142.0,,,True,262.0,262.0,HXR_only,,?,0
2026-06-03 12:15:10+00:00,2026-06-03 12:16:35+00:00,2026-06-03 12:17:30+00:00,140.0,,,True,304.0,304.0,HXR_only,,?,0
2026-06-03 12:25:37+00:00,2026-06-03 12:25:37+00:00,2026-06-03 12:26:14+00:00,37.0,,,True,204.0,204.0,HXR_only,,?,0
2026-06-03 12:49:00+00:00,2026-06-03 12:49:12+00:00,2026-06-03 12:49:12+00:00,12.0,,,True,268.0,268.0,HXR_only,,?,0
2026-06-03 13:04:11+00:00,2026-06-03 13:04:38+00:00,2026-06-03 13:05:32+00:00,81.0,,,True,216.0,216.0,HXR_only,,?,0
2026-06-03 13:17:48+00:00,2026-06-03 13:18:44+00:00,2026-06-03 13:19:00+00:00,72.0,,,True,233.0,233.0,HXR_only,,?,0
2026-06-03 13:28:34+00:00,2026-06-03 13:28:34+00:00,2026-06-03 13:29:01+00:00,27.0,,,True,334.0,334.0,HXR_only,,?,0
2026-06-03 13:33:30+00:00,2026-06-03 13:34:07+00:00,2026-06-03 13:34:22+00:00,52.0,,,True,230.0,230.0,HXR_only,,?,0
