start,peak,end,peak_counts,background,snr,duration_s,instrument
2026-06-03 00:01:58+00:00,2026-06-03 00:01:58+00:00,2026-06-03 00:02:36+00:00,279.0,0.0,279.0,38.0,HEL1OS
2026-06-03 00:13:29+00:00,2026-06-03 00:13:29+00:00,2026-06-03 00:14:11+00:00,247.0,0.0,247.0,42.0,HEL1OS
2026-06-03 00:31:16+00:00,2026-06-03 00:31:30+00:00,2026-06-03 00:35:59+00:00,233.0,0.0,233.0,283.0,HEL1OS
2026-06-03 00:38:42+00:00,2026-06-03 00:39:21+00:00,2026-06-03 00:41:09+00:00,229.0,0.0,229.0,147.0,HEL1OS
2026-06-03 00:50:12+00:00,2026-06-03 00:51:19+00:00,2026-06-03 00:51:40+00:00,258.0,0.0,258.0,88.0,HEL1OS
2026-06-03 00:54:11+00:00,2026-06-03 00:54:55+00:00,2026-06-03 00:54:59+00:00,316.0,0.0,316.0,48.0,HEL1OS
2026-06-03 01:07:50+00:00,2026-06-03 01:07:57+00:00,2026-06-03 01:08:18+00:00,227.0,0.0,227.0,28.0,HEL1OS
2026-06-03 01:13:11+00:00,2026-06-03 01:13:27+00:00,2026-06-03 01:14:36+00:00,295.0,0.0,295.0,85.0,HEL1OS
2026-06-03 01:18:50+00:00,2026-06-03 01:19:15+00:00,2026-06-03 01:20:38+00:00,294.0,0.0,294.0,108.0,HEL1OS
2026-06-03 01:26:35+00:00,2026-06-03 01:30:30+00:00,2026-06-03 01:33:48+00:00,2144.0,0.0,2144.0,433.0,HEL1OS
2026-06-03 01:46:42+00:00,2026-06-03 01:49:45+00:00,2026-06-03 01:49:56+00:00,222.0,0.0,222.0,194.0,HEL1OS
2026-06-03 01:53:19+00:00,2026-06-03 01:53:31+00:00,2026-06-03 01:53:36+00:00,264.0,0.0,264.0,17.0,HEL1OS
2026-06-03 01:55:12+00:00,2026-06-03 01:57:21+00:00,2026-06-03 01:59:07+00:00,322.0,0.0,322.0,235.0,HEL1OS
2026-06-03 02:11:50+00:00,2026-06-03 02:11:57+00:00,2026-06-03 02:13:10+00:00,264.0,0.0,264.0,80.0,HEL1OS
2026-06-03 02:20:03+00:00,2026-06-03 02:20:27+00:00,2026-06-03 02:20:46+00:00,203.0,0.0,203.0,43.0,HEL1OS
2026-06-03 02:22:59+00:00,2026-06-03 02:23:38+00:00,2026-06-03 02:23:53+00:00,224.0,0.0,224.0,54.0,HEL1OS
2026-06-03 02:47:21+00:00,2026-06-03 02:48:42+00:00,2026-06-03 02:49:53+00:00,288.0,0.0,288.0,152.0,HEL1OS
2026-06-03 03:05:07+00:00,2026-06-03 03:07:54+00:00,2026-06-03 03:08:08+00:00,261.0,0.0,261.0,181.0,HEL1OS
2026-06-03 03:35:28+00:00,2026-06-03 03:36:40+00:00,2026-06-03 03:37:01+00:00,212.0,0.0,212.0,93.0,HEL1OS
2026-06-03 03:46:40+00:00,2026-06-03 03:47:51+00:00,2026-06-03 03:48:05+00:00,264.0,0.0,264.0,85.0,HEL1OS
2026-06-03 04:12:01+00:00,2026-06-03 04:13:30+00:00,2026-06-03 04:16:19+00:00,320.0,0.0,320.0,258.0,HEL1OS
2026-06-03 04:29:45+00:00,2026-06-03 04:30:39+00:00,2026-06-03 04:31:29+00:00,318.0,0.0,318.0,104.0,HEL1OS
2026-06-03 04:42:11+00:00,2026-06-03 04:42:35+00:00,2026-06-03 04:43:12+00:00,257.0,0.0,257.0,61.0,HEL1OS
2026-06-03 04:46:31+00:00,2026-06-03 04:47:39+00:00,2026-06-03 04:47:57+00:00,248.0,0.0,248.0,86.0,HEL1OS
2026-06-03 04:55:02+00:00,2026-06-03 04:55:11+00:00,2026-06-03 04:55:31+00:00,300.0,0.0,300.0,29.0,HEL1OS
2026-06-03 04:57:20+00:00,2026-06-03 04:57:45+00:00,2026-06-03 04:57:50+00:00,187.0,0.0,187.0,30.0,HEL1OS
2026-06-03 05:01:40+00:00,2026-06-03 05:01:59+00:00,2026-06-03 05:04:00+00:00,298.0,0.0,298.0,140.0,HEL1OS
2026-06-03 05:11:10+00:00,2026-06-03 05:11:58+00:00,2026-06-03 05:12:08+00:00,272.0,0.0,272.0,58.0,HEL1OS
2026-06-03 05:16:49+00:00,2026-06-03 05:17:12+00:00,2026-06-03 05:18:14+00:00,264.0,0.0,264.0,85.0,HEL1OS
2026-06-03 05:22:07+00:00,2026-06-03 05:23:08+00:00,2026-06-03 05:24:09+00:00,275.0,0.0,275.0,122.0,HEL1OS
2026-06-03 05:47:44+00:00,2026-06-03 05:47:54+00:00,2026-06-03 05:48:13+00:00,281.0,0.0,281.0,29.0,HEL1OS
