start_utc,peak_utc,end_utc,duration_s,sxr_peak_counts,sxr_peak_flux_wm2,goes_class,goes_class_num,hxr_detected,hxr_peak_counts,snr_sxr,snr_hxr,source
2026-06-16 17:04:04+00:00,2026-06-16 17:04:34+00:00,2026-06-16 17:07:24+00:00,200.0,,,?,0,True,273.0,,273.0,HXR_only
2026-06-16 17:11:02+00:00,2026-06-16 17:12:08+00:00,2026-06-16 17:12:22+00:00,80.0,,,?,0,True,280.0,,280.0,HXR_only
2026-06-16 17:18:46+00:00,2026-06-16 17:18:52+00:00,2026-06-16 17:20:25+00:00,99.0,,,?,0,True,352.0,,352.0,HXR_only
2026-06-16 17:35:43+00:00,2026-06-16 17:35:58+00:00,2026-06-16 17:36:04+00:00,21.0,,,?,0,True,212.0,,212.0,HXR_only
2026-06-16 17:37:38+00:00,2026-06-16 17:38:03+00:00,2026-06-16 17:38:08+00:00,30.0,,,?,0,True,243.0,,243.0,HXR_only
2026-06-16 17:43:33+00:00,2026-06-16 17:44:26+00:00,2026-06-16 17:44:54+00:00,81.0,,,?,0,True,263.0,,263.0,HXR_only
2026-06-16 17:55:07+00:00,2026-06-16 17:56:13+00:00,2026-06-16 17:59:24+00:00,257.0,,,?,0,True,289.0,,289.0,HXR_only
2026-06-16 18:08:00+00:00,2026-06-16 18:08:25+00:00,2026-06-16 18:08:38+00:00,38.0,,,?,0,True,206.0,,206.0,HXR_only
2026-06-16 18:10:44+00:00,2026-06-16 18:11:22+00:00,2026-06-16 18:11:28+00:00,44.0,,,?,0,True,190.0,,190.0,HXR_only
2026-06-16 18:15:01+00:00,2026-06-16 18:15:10+00:00,2026-06-16 18:15:32+00:00,31.0,,,?,0,True,251.0,,251.0,HXR_only
2026-06-16 18:17:12+00:00,2026-06-16 18:17:21+00:00,2026-06-16 18:17:52+00:00,40.0,,,?,0,True,262.0,,262.0,HXR_only
2026-06-16 18:34:13+00:00,2026-06-16 18:35:30+00:00,2026-06-16 18:36:18+00:00,125.0,,,?,0,True,273.0,,273.0,HXR_only
2026-06-16 18:40:30+00:00,2026-06-16 18:41:32+00:00,2026-06-16 18:41:38+00:00,68.0,,,?,0,True,259.0,,259.0,HXR_only
2026-06-16 18:47:40+00:00,2026-06-16 18:48:04+00:00,2026-06-16 18:48:50+00:00,70.0,,,?,0,True,260.0,,260.0,HXR_only
