start,peak,end,peak_counts,background,snr,duration_s,instrument
2026-06-12 00:00:26+00:00,2026-06-12 00:00:34+00:00,2026-06-12 00:00:57+00:00,211.0,0.0,211.0,31.0,HEL1OS
2026-06-12 00:29:47+00:00,2026-06-12 00:30:00+00:00,2026-06-12 00:30:16+00:00,232.0,0.0,232.0,29.0,HEL1OS
2026-06-12 00:38:27+00:00,2026-06-12 00:38:27+00:00,2026-06-12 00:38:51+00:00,264.0,0.0,264.0,24.0,HEL1OS
2026-06-12 00:42:13+00:00,2026-06-12 00:43:02+00:00,2026-06-12 00:45:14+00:00,253.0,0.0,253.0,181.0,HEL1OS
2026-06-12 00:47:49+00:00,2026-06-12 00:47:51+00:00,2026-06-12 00:48:02+00:00,235.0,0.0,235.0,13.0,HEL1OS
2026-06-12 00:51:34+00:00,2026-06-12 00:51:38+00:00,2026-06-12 00:52:14+00:00,233.0,0.0,233.0,40.0,HEL1OS
2026-06-12 00:55:34+00:00,2026-06-12 00:55:34+00:00,2026-06-12 00:55:50+00:00,224.0,0.0,224.0,16.0,HEL1OS
2026-06-12 00:59:23+00:00,2026-06-12 00:59:25+00:00,2026-06-12 01:00:14+00:00,188.0,0.0,188.0,51.0,HEL1OS
2026-06-12 01:05:05+00:00,2026-06-12 01:05:11+00:00,2026-06-12 01:06:13+00:00,301.0,0.0,301.0,68.0,HEL1OS
2026-06-12 01:12:31+00:00,2026-06-12 01:12:48+00:00,2026-06-12 01:12:48+00:00,287.0,0.0,287.0,17.0,HEL1OS
2026-06-12 01:45:31+00:00,2026-06-12 01:46:18+00:00,2026-06-12 01:47:10+00:00,290.0,0.0,290.0,99.0,HEL1OS
2026-06-12 02:07:22+00:00,2026-06-12 02:10:30+00:00,2026-06-12 02:12:28+00:00,330.0,0.0,330.0,306.0,HEL1OS
2026-06-12 02:15:30+00:00,2026-06-12 02:16:31+00:00,2026-06-12 02:16:35+00:00,217.0,0.0,217.0,65.0,HEL1OS
2026-06-12 02:25:10+00:00,2026-06-12 02:27:02+00:00,2026-06-12 02:28:10+00:00,235.0,0.0,235.0,180.0,HEL1OS
2026-06-12 02:31:55+00:00,2026-06-12 02:32:04+00:00,2026-06-12 02:32:18+00:00,195.0,0.0,195.0,23.0,HEL1OS
2026-06-12 02:33:59+00:00,2026-06-12 02:35:41+00:00,2026-06-12 02:35:55+00:00,253.0,0.0,253.0,116.0,HEL1OS
2026-06-12 02:37:39+00:00,2026-06-12 02:38:08+00:00,2026-06-12 02:38:08+00:00,215.0,0.0,215.0,29.0,HEL1OS
2026-06-12 02:40:40+00:00,2026-06-12 02:40:40+00:00,2026-06-12 02:41:08+00:00,199.0,0.0,199.0,28.0,HEL1OS
