start,peak,end,peak_counts,background,snr,duration_s,instrument
2026-06-10 00:03:49+00:00,2026-06-10 00:03:51+00:00,2026-06-10 00:04:59+00:00,295.0,0.0,295.0,70.0,HEL1OS
2026-06-10 00:44:54+00:00,2026-06-10 00:45:26+00:00,2026-06-10 00:46:18+00:00,295.0,0.0,295.0,84.0,HEL1OS
2026-06-10 00:52:11+00:00,2026-06-10 00:53:44+00:00,2026-06-10 00:54:06+00:00,253.0,0.0,253.0,115.0,HEL1OS
2026-06-10 00:57:13+00:00,2026-06-10 00:57:25+00:00,2026-06-10 00:58:58+00:00,324.0,0.0,324.0,105.0,HEL1OS
2026-06-10 01:14:19+00:00,2026-06-10 01:15:20+00:00,2026-06-10 01:15:49+00:00,258.0,0.0,258.0,90.0,HEL1OS
2026-06-10 01:34:17+00:00,2026-06-10 01:34:21+00:00,2026-06-10 01:35:22+00:00,296.0,0.0,296.0,65.0,HEL1OS
2026-06-10 01:54:29+00:00,2026-06-10 01:54:59+00:00,2026-06-10 01:55:43+00:00,294.0,0.0,294.0,74.0,HEL1OS
2026-06-10 02:05:02+00:00,2026-06-10 02:05:09+00:00,2026-06-10 02:05:13+00:00,375.0,0.0,375.0,11.0,HEL1OS
2026-06-10 02:15:05+00:00,2026-06-10 02:15:20+00:00,2026-06-10 02:16:06+00:00,223.0,0.0,223.0,61.0,HEL1OS
2026-06-10 02:19:28+00:00,2026-06-10 02:20:34+00:00,2026-06-10 02:20:38+00:00,277.0,0.0,277.0,70.0,HEL1OS
2026-06-10 02:22:18+00:00,2026-06-10 02:22:26+00:00,2026-06-10 02:22:39+00:00,145.0,0.0,145.0,21.0,HEL1OS
2026-06-10 02:26:22+00:00,2026-06-10 02:28:14+00:00,2026-06-10 02:28:59+00:00,275.0,0.0,275.0,157.0,HEL1OS
2026-06-10 02:41:20+00:00,2026-06-10 02:41:36+00:00,2026-06-10 02:42:29+00:00,308.0,0.0,308.0,69.0,HEL1OS
2026-06-10 02:52:11+00:00,2026-06-10 02:53:18+00:00,2026-06-10 02:53:50+00:00,234.0,0.0,234.0,99.0,HEL1OS
2026-06-10 03:06:34+00:00,2026-06-10 03:08:45+00:00,2026-06-10 03:09:41+00:00,323.0,0.0,323.0,187.0,HEL1OS
2026-06-10 03:16:17+00:00,2026-06-10 03:16:30+00:00,2026-06-10 03:17:17+00:00,278.0,0.0,278.0,60.0,HEL1OS
